trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0, 'e': 0.80000000000000004}",30,0,-86.19693198469186,"{0: 18, 1: 8, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.37756102215644283, 'e': 0.20000000000000001}",25,0,-192.16261184972169,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.56505227704379513, 'e': 0.088888888888888892}",25,20,7.984734031009925,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.65815767881026355, 'e': 0.050000000000000003}",25,16,-25.746865712940927,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.70439245303108655, 'e': 0.032000000000000001}",20,7,7.202381842095255,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.72735196243326117, 'e': 0.022222222222222223}",30,0,-195.23176833405853,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.73875331738464167, 'e': 0.016326530612244899}",20,0,-105.48140490185645,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
8,False,"{'a': 0.74441506269680668, 'e': 0.012500000000000001}",20,0,-20.135157573651483,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.74722660221263781, 'e': 0.009876543209876543}",20,0,18.65526585726742,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.74862277141722833, 'e': 0.0080000000000000002}",20,12,-6.060680409912662,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.74931608852583409, 'e': 0.006611570247933885}",25,11,-44.44371661933082,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
12,False,"{'a': 0.74966037961283494, 'e': 0.0055555555555555558}",20,0,17.41419042660259,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.74983134950686592, 'e': 0.0047337278106508876}",20,0,-33.29286956657663,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
14,False,"{'a': 0.74991625064363243, 'e': 0.0040816326530612249}",20,12,0.31732207699721426,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.74995841130042584, 'e': 0.0035555555555555557}",20,8,-4.243554589760934,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.74997934766298768, 'e': 0.0031250000000000002}",25,0,4.905517832490894,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.74998974435295074, 'e': 0.0027681660899653983}",25,0,-119.85468973834011,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.7499949071963945, 'e': 0.0024691358024691358}",25,0,11.39488114160341,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
19,False,"{'a': 0.74999747098857439, 'e': 0.00221606648199446}",20,0,-25.921528045918954,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.74999874413009293, 'e': 0.002}",30,9,-63.553413482470674,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 1}",1
